Title,Author,Selected,Tier,Venue,Date,Paper/Slide/Poster,Video,Code,Award1,Award2,Award3,Software,Description
Exploration of Unary Arithmetic-Based Matrix Multiply Units for Low Precision DL Accelerators,"Prabhu Vellaisamy, Harideep Nair, Di Wu, Shawn Blanton, John Paul Shen",,,ISVLSI,7/1/24,2024-07-01-isvlsi,,,,,,,
ALISA: Accelerating Large Language Model Inference via Sparsity-Aware KV Caching,"Youpeng Zhao, Di Wu, Jun Wang",yes,top,ISCA,6/29/24,2024-06-29-isca,,,,,,,
Carat: Unlocking Value-Level Parallelism for Multiplier-Free GEMMs,"Zhewen Pan, Joshua San Miguel, Di Wu",yes,top,ASPLOS,4/27/24,2024-04-27-asplos,https://youtu.be/DKAf4moq98k,https://zenodo.org/records/10553038,IEEE Micro Top Pick Honorable Mention,Distinguished Artifact Evaluation Award,,Carat,Artifact to reproduce results.
Exploration of Unary Arithmetic-Based Matrix Multiply Units for Low Precision DL Accelerators,"Prabhu Vellaisamy, Harideep Nair, Di Wu, Shawn Blanton, John Paul Shen",,,WUC,4/27/24,2024-04-28-wuc,,,,,,,
xBrain: Brain-Like Computing for Explainable Brain-Computer Interfaces,"Queenly Xie, Prabhu Vellaisamy, Di Wu",,,YArch,4/27/24,2024-04-28-yarch,,,,,,,
Unleashing the Potential of LLMs for Quantum Computing: A Study in Quantum Architecture Design,"Zhiding Liang, Jinglei Cheng, Rui Yang, Hang Ren, Zhixin Song, Di Wu, Tongyang Li, Yiyu Shi",,,arXiv preprint,7/13/23,https://arxiv.org/abs/2307.08191,,,,,,,
uBrain: A Unary Brain Computer Interface,"Di Wu, Jingjie Li, Zhewen Pan, Younghyun Kim, Joshua San Miguel",yes,top,ISCA,6/18/22,2022-06-18-isca,,https://github.com/diwu1990/UnarySim/tree/stable-v0,,,,,
T-MAC: Temporal Multiplication with Accumulation,"Zhewen Pan, Di Wu, Joshua San Miguel",,,YArch,3/1/22,2022-03-01-yarch,,,,,,,
uSystolic: Byte-Crawling Unary Systolic Array,"Di Wu, Joshua San Miguel",yes,top,HPCA,2/12/22,2022-02-12-hpca,,https://github.com/diwu1990/UnarySim/tree/stable-v0,,,,,
Special Session: When Dataflows Converge: Reconfigurable and Approximate Computing for Emerging Neural Networks,"Di Wu, Joshua San Miguel",,,ICCD,10/24/21,2021-10-24-iccd,,,,,,,
UNO: Virtualizing and Unifying Nonlinear Operations for Emerging Neural Networks,"Di Wu, Jingjie Li, Setareh Behroozi, Younghyun Kim, Joshua San Miguel",,,ISLPED,7/26/21,2021-07-26-islped,,,,,,,
uGEMM: Unary Computing for GEMM Applications,"Di Wu, Jingjie Li, Ruokai Yin, Hsuan Hsiao, Younghyun Kim, Joshua San Miguel",,,IEEE Micro,5/26/21,2021-05-26-ieeemicro,,,,,,,
Representation Range Needs for 16-bit Neural Network Training,"Valentina Popescu, Abhinav Venigalla, Di Wu, Robert Schreiber",,,arXiv preprint,4/6/21,https://arxiv.org/abs/2103.15940,,,,,,,
Normalized Stability: A Cross-Level Design Metric for Early Termination in Stochastic Computing,"Di Wu, Ruokai Yin, Joshua San Miguel",,,ASP-DAC,1/18/21,2021-01-18-aspdac,,,,,,,
In-Stream Correlation-Based Division and Bit-Inserting Square Root in Stochastic Computing,"Di Wu, Ruokai Yin, Joshua San Miguel",,,IEEE D&T,1/11/21,2021-01-11-ieeedt,,,,,,,
uGEMM: Unary Computing Architecture for GEMM Applications,"Di Wu, Jingjie Li, Ruokai Yin, Hsuan Hsiao, Younghyun Kim, Joshua San Miguel",yes,top,ISCA,5/30/20,2020-05-30-isca,,https://github.com/diwu1990/UnarySim/tree/stable-v0,IEEE Micro Top Pick,,,UnarySim,A general-purpose simulator for unary computing.
Approximate Hardware Techniques for Energy-Quality Scaling Across the System,"Younghyun Kim, Joshua San Miguel, Setareh Behroozi, Tianen Chen, Kyuin Lee, Yongwoo Lee, Jingjie Li, Di Wu",,,ICEIC,1/19/20,2020-01-19-iceic,,,,,,,
SECO: A Scalable Accuracy Approximate Exponential Function Via Cross-Layer Optimization,"Di Wu, Tianen Chen, Chienfu Chen, Oghenefego Ahia, Joshua San Miguel, Mikko Lipasti, Younghyun Kim",,,ISLPED,7/29/19,2019-07-29-islped,,,,,,,
In-Stream Stochastic Division and Square Root via Correlation,"Di Wu, Joshua San Miguel",yes,,DAC,6/2/19,2019-06-02-dac,,,,,,,
Convergence-Optimized Variable Node Structure for Stochastic LDPC Decoder,"Qichen Zhang, Yun Chen, Di Wu, Xiaoyang Zeng, Yeong-luh Ueng",,,ICASSP,3/20/16,2016-03-20-icassp,,,,,,,
Strategies for Reducing Decoding Cycles in Stochastic LDPC Decoders,"Di Wu, Yun Chen, Qichen Zhang, Yeong-luh Ueng, Xiaoyang Zeng",,,IEEE TCAS-II,2/25/16,2016-02-25-tcasii,,,,,,,
An Area-Efficient Architecture for Stochastic LDPC Decoder,"Qichen Zhang, Yun Chen, Di Wu, Xiaoyang Zeng, Yeong-luh Ueng",,,DSP,7/21/15,2015-07-21-dsp,,,,,,,
Latency-Optimized Stochastic LDPC Decoder for High-Throughput Applications,"Di Wu, Yun Chen, Qichen Zhang, Lirong Zheng, Xiaoyang Zeng, Yeong-luh Ueng",,,ISCAS,5/24/15,2015-05-24-iscas,,,,,,,
An Efficient Multirate LDPC-CC Decoder with A Layered Decoding Algorithm for The IEEE 1901 Standard,"Yun Chen, Qichen Zhang, Di Wu, Changsheng Zhou, Xiaoyang Zeng",,,IEEE TCAS-II,10/14/14,2014-10-14-tcasii,,,,,,,
A High-Throughput LDPC Decoder for Optical Communication,"Di Wu, Yun Chen, Yuebin Huang, Yeongluh Ueng, Lirong Zheng, Xiaoyang Zeng",,,ASICON,10/28/13,2013-10-28-asicon,,,,,,,
