Title,Date,Link
"Di Wu will serve on panel of Quantum Cybersecurity: Challenges & Opportunities at IEEE Workshop on Quantum IntelLigence, Learning & Security (QUILLS)",10/25/24,https://sites.google.com/pitt.edu/quills/home
Di Wu is organizing Workshop on Architecting Error Corrected Quantum Computers (ARQTEC) at HPCA 2025!,10/25/24,https://sites.google.com/view/arqtec-1st/home
Di Wu will give a talk on unary computing at Case Western Reserve University!,10/22/24,
Di Wu receives AMD Faculty Award!,10/5/24,https://www.amd.com/en/corporate/university-program.html
Di Wu will serve on the program committee for ISCA 2025!,9/24/24,https://iscaconf.org/isca2025/
Di Wu will serve on the program committee for IEEE ICRC 2024!,9/24/24,https://icrc.ieee.org/
Congrats to Yanzhang Zhu on paper acceptance to QUILLS 2024!,9/22/24,https://sites.google.com/pitt.edu/quills/home
Di Wu will serve on the program committee for IEEE IPDPS 2025!,8/17/24,https://www.ipdps.org/
Di Wu will give a talk on unary computing at Peking University!,8/13/24,
"Di Wu will serve on the program committee for 2024 IEEE Workshop on Quantum Intelligence, Learning & Security (QUILLS)!",8/9/24,https://sites.google.com/pitt.edu/quills/home
Congrats to Ruokai Yin on paper acceptance to MICRO 2024!,7/17/24,https://microarch.org/micro57/
Congrats to Marco Kurzynski on receiving ORCGS Doctoral Fellowship!,7/9/24,
Di Wu is highlighted on UCF News!,7/4/24,https://www.ucf.edu/news/ucf-assistant-professor-is-charged-to-unleash-student-potential/
Di Wu will serve on the program committee for IEEE HPCA 2025!,6/20/24,https://hpca-conf.org/2025/
Di Wu receives AMD AI & HPC Cluster Award!,5/14/24,https://www.amd.com/en/corporate/university-program/ai-hpc-cluster.html
Di Wu will serve on the program committee for IEEE ICCD 2024!,5/13/24,https://www.iccd-conf.com/Home.html
Congrats to Prabhu Vellaisamy on paper acceptance to ISVLSI 2024!,5/6/24,https://www.ieee-isvlsi.org/ISVLSI_2024_Website/index.html
Di Wu will serve on the program committee for ACM/IEEE ICCAD 2024!,5/6/24,https://2024.iccad.com/
Congrats  to Cory and Parker on receiving AMD graduate fellowship!,4/30/24,
Our work Carat is selected for Distinguished Artifact Evaluation Award at ASPLOS 2024!,4/30/24,https://www.asplos-conference.org/asplos2024/main-program/
Congrats to Daniel Price on receiving  MLSys 2024 Student Travel Grant!,4/27/24,https://mlsys.org/
Di Wu is awarded The Harold Peterson Outstanding Dissertation Award!,4/24/24,https://engineering.wisc.edu/blog/2024-ece-department-awards-showcase-vibrant-academic-community/
Congrats to Youpeng Zhao on acceptance to MLSys YPS 2024!,4/15/24,https://sites.google.com/view/mlsys24yps
Di Wu will serve on the program committee for PhD Forum at DAC 2024!,3/31/24,https://www.dac.com/Attend/Students-Scholarships/PhD-Forum
Congrats to Prabhu Vellaisamy on paper acceptance to WUC 2024!,3/24/24,https://sites.google.com/view/wuc-2nd/home
Di Wu will give a talk on unary computing at the University of Minnesota Twin Cities!,3/21/24,
Congrats to Youpeng Zhao on paper acceptance to ISCA 2024!,3/19/24,https://iscaconf.org/isca2024/
Congrats to Queenly Xie on paper acceptance to YArch 2024!,3/15/24,https://www.cs.cmu.edu/~yarch2024/
Congrats to Queenly Xie on acceptance to uArch 2024!,3/15/24,https://sites.google.com/view/6th-uarch
Congrats to Daniel Price on Artificial Intelligence Initiative (Aii) Doctoral Fellowship!,3/5/24,https://ai.ucf.edu/
Di Wu is organizing Workshop on Unary Computing at ASPLOS 2024!,1/26/24,https://sites.google.com/view/wuc-2nd
Congrats to Bao Ho on Northrop Grumman Undergraduate Research Scholarship! Welcome on board!,1/19/24,
Di Wu will serve on the program committee for YArch 2024!,12/11/23,https://www.cs.cmu.edu/~yarch2024/
Di Wu will serve on an NSF medium panel in CNS division!,12/7/23,https://www.nsf.gov/dir/index.jsp?org=CISE
Di Wu will give a talk on unary computing at the University of Louisiana  at Lafayette!,11/17/23,https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DqjTftaxxrVw&data=05%7C01%7CDi.Wu%40ucf.edu%7C43fca765b9014afdfea408dbe8811490%7Cbb932f15ef3842ba91fcf3c59d5dd1f1%7C0%7C0%7C638359413324029298%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=4vGNE4qAzYnfmkvlLgSrDmOzPfP%2BYWejNWDyHj%2BniYU%3D&reserved=0
Congrats to Zhewen on paper acceptance to ASPLOS 2024!,11/7/23,https://www.asplos-conference.org/asplos2024/
Di Wu will serve on the program committee for IEEE/ACM ISCA 2024!,11/6/23,https://www.iscaconf.org/isca2024/
Di Wu will serve on the program committee for IEEE ISPASS 2024!,10/24/23,https://ispass.org/ispass2024/
Di Wu is part of the growth in UCF ECE! Check out the interview!,10/11/23,https://www.nicholsonstudentmedia.com/life/ece-department-grows-faculty-in-diversity-and-vision/article_ad02433c-5f13-11ee-a3eb-c30b38fa2101.html
"Congrats  to Cory, Francisco and Tyler on AMD undergraduate fellowship! Welcome on board!",9/12/23,
Di Wu co-organizes the 2023 ICCAD Quantum Computing for Drug Discovery Challenge!,8/22/23,https://qccontest.github.io/QC-Contest/index.html
Di Wu will give a tech talk in AMD Research on power-efficient computer architecture via unary computing!,7/21/23,
Di Wu will serve on the program committee for IEEE HPCA 2024!,7/18/23,https://www.hpca-conf.org/2024/committees/pc.php
Di Wu will serve on the program committee for IEEE ICCD 2023!,6/27/23,https://www.iccd-conf.com/Program_Committee.html
Di Wu is selected as a MLSys Rising Star 2023 by MLCommons!,6/15/23,https://mlcommons.org/en/rising-stars-2023/
Di Wu will serve on the program committee for IEEE IISWC 2023!,5/17/23,https://iiswc.org/iiswc2023/#/committees/
Di Wu will join UCF ECE as a tenure-track assistant professor this fall!,4/30/23,
Di Wu is awarded a Wisconsin Distinguished Graduate Fellowship!,6/30/22,
Hello world!,4/1/22,
